AccX,AccY,AccZ,Act
-0.962402344,0.014892578,-0.215576172,1
-0.962402344,0.014892578,-0.215576172,1
-0.958984375,-0.014160156,-0.213867188,1
-0.958984375,-0.014160156,-0.213867188,1
-0.958984375,-0.014160156,-0.213867188,2
-0.512451172,0.052978516,-0.368652344,2
-0.512451172,0.052978516,-0.368652344,2
-0.512451172,0.052978516,-0.368652344,2
-0.073242188,-0.286376953,-1.149169922,2
-0.073242188,-0.286376953,-1.149169922,3
-0.073242188,-0.286376953,-1.149169922,3
-0.146484375,-0.338134766,-0.929931641,3
-0.146484375,-0.338134766,-0.929931641,3
-0.146484375,-0.338134766,-0.929931641,3
-0.146484375,-0.338134766,-0.929931641,3
-0.052978516,-0.370361328,-0.972412109,3
-0.052978516,-0.370361328,-0.972412109,3
-0.052978516,-0.370361328,-0.972412109,3
-0.040283203,-0.337402344,-0.930419922,3
-0.040283203,-0.337402344,-0.930419922,3
-0.040283203,-0.337402344,-0.930419922,3
-0.309326172,0.046386719,-1.083007813,3
-0.309326172,0.046386719,-1.083007813,3
0,0,0,0
-0.975830078,-0.034423828,-0.183349609,1
-0.975830078,-0.034423828,-0.183349609,1
-0.975830078,-0.034423828,-0.183349609,1
-0.943603516,-0.068847656,-0.215576172,1
-0.943603516,-0.068847656,-0.215576172,1
-0.943603516,-0.068847656,-0.215576172,2
-4.991699219,-0.303466797,-4.043701172,2
-4.991699219,-0.303466797,-4.043701172,2
-4.991699219,-0.303466797,-4.043701172,2
-0.008300781,-0.011474609,-1.026367188,2
-0.008300781,-0.011474609,-1.026367188,3
-0.008300781,-0.011474609,-1.026367188,3
-0.007080078,-0.005859375,-1.021484375,3
-0.007080078,-0.005859375,-1.021484375,3
-0.007080078,-0.005859375,-1.021484375,3
-0.007080078,-0.005859375,-1.021484375,3
-0.005371094,-0.009277344,-1.021972656,3
-0.005371094,-0.009277344,-1.021972656,3
-0.006835938,-0.01171875,-1.021240234,3
0,0,0,0
-0.970947266,-0.041992188,-0.181640625,1
-0.970947266,-0.041992188,-0.181640625,1
-0.970947266,-0.041992188,-0.181640625,1
-0.970947266,-0.041992188,-0.181640625,1
-0.982421875,-0.049316406,-0.202148438,1
-0.982421875,-0.049316406,-0.202148438,1
-0.982421875,-0.049316406,-0.202148438,1
-0.725585938,0.3515625,-2.138427734,1
-0.725585938,0.3515625,-2.138427734,1
-0.725585938,0.3515625,-2.138427734,2
-0.212402344,-0.1953125,-0.881103516,2
-0.212402344,-0.1953125,-0.881103516,3
-0.212402344,-0.1953125,-0.881103516,3
-0.135009766,-0.263427734,-0.951660156,3
-0.135009766,-0.263427734,-0.951660156,3
-0.135009766,-0.263427734,-0.951660156,3
-0.14453125,-0.276611328,-0.961425781,3
-0.14453125,-0.276611328,-0.961425781,3
-0.14453125,-0.276611328,-0.961425781,3
-0.144287109,-0.3046875,-0.966308594,3
0,0,0,0
-0.981933594,0.024902344,-0.188964844,1
-0.981933594,0.024902344,-0.188964844,1
-0.981933594,0.024902344,-0.188964844,1
-0.981933594,0.024902344,-0.188964844,1
-0.951171875,0.081787109,-0.248535156,1
-0.951171875,0.081787109,-0.248535156,1
-0.951171875,0.081787109,-0.248535156,2
-0.377441406,-0.020507813,-1.020996094,2
-0.377441406,-0.020507813,-1.020996094,2
-0.377441406,-0.020507813,-1.020996094,2
0.220947266,0.276367188,-0.491210938,2
0.220947266,0.276367188,-0.491210938,3
0.220947266,0.276367188,-0.491210938,3
-0.005126953,0.156738281,-0.996337891,3
-0.005126953,0.156738281,-0.996337891,3
-0.005126953,0.156738281,-0.996337891,3
-0.107177734,0.079101563,-1.044921875,3
